phase	epoch	g_loss	pre_d_loss	pre_real_prob	pre_fake_prob	pre_accuracy	post_d_loss	post_real_prob	post_fake_prob	post_accuracy
pre-train-d-epoch	39	1	-	0.0080	0.9967	0.0032	0.9967
pre-train-d-epoch	39	2	-	0.0044	0.9984	0.0017	0.9983
pre-train-d-epoch	40	0	-	0.0143	0.9930	0.0069	0.9931
pre-train-d-epoch	40	1	-	0.0088	0.9961	0.0040	0.9960
pre-train-d-epoch	40	2	-	0.0053	0.9978	0.0021	0.9978
pre-train-d-epoch	41	0	-	0.0108	0.9947	0.0052	0.9947
pre-train-d-epoch	41	1	-	0.0073	0.9969	0.0032	0.9969
pre-train-d-epoch	41	2	-	0.0045	0.9982	0.0018	0.9982
pre-train-d-epoch	42	0	-	0.0184	0.9911	0.0088	0.9912
pre-train-d-epoch	42	1	-	0.0088	0.9963	0.0038	0.9962
pre-train-d-epoch	42	2	-	0.0046	0.9981	0.0017	0.9982
pre-train-d-epoch	43	0	-	0.0105	0.9949	0.0048	0.9951
pre-train-d-epoch	43	1	-	0.0073	0.9966	0.0034	0.9966
pre-train-d-epoch	43	2	-	0.0039	0.9986	0.0015	0.9985
pre-train-d-epoch	44	0	-	0.0151	0.9928	0.0068	0.9930
pre-train-d-epoch	44	1	-	0.0040	0.9986	0.0015	0.9986
pre-train-d-epoch	44	2	-	0.0045	0.9981	0.0018	0.9981
pre-train-d-epoch	45	0	-	0.0133	0.9936	0.0063	0.9937
pre-train-d-epoch	45	1	-	0.0054	0.9977	0.0023	0.9977
pre-train-d-epoch	45	2	-	0.0046	0.9982	0.0020	0.9981
pre-train-d-epoch	46	0	-	0.0133	0.9935	0.0063	0.9936
pre-train-d-epoch	46	1	-	0.0051	0.9978	0.0021	0.9979
pre-train-d-epoch	46	2	-	0.0040	0.9984	0.0017	0.9984
pre-train-d-epoch	47	0	-	0.0099	0.9953	0.0047	0.9953
pre-train-d-epoch	47	1	-	0.0066	0.9969	0.0029	0.9970
pre-train-d-epoch	47	2	-	0.0057	0.9976	0.0026	0.9975
pre-train-d-epoch	48	0	-	0.0132	0.9937	0.0061	0.9938
pre-train-d-epoch	48	1	-	0.0052	0.9979	0.0022	0.9979
pre-train-d-epoch	48	2	-	0.0046	0.9980	0.0020	0.9980
pre-train-d-epoch	49	0	-	0.0098	0.9955	0.0044	0.9956
pre-train-d-epoch	49	1	-	0.0046	0.9981	0.0020	0.9980
pre-train-d-epoch	49	2	-	0.0045	0.9980	0.0020	0.9980
adv-train-epoch	0	45.1345	0.0127	0.9997	0.0079	0.9959	0.0182	0.9998	0.0112
adv-train-epoch	1	112.2826	0.0162	0.9998	0.0108	0.9945	0.0062	0.9995	0.0035
adv-train-epoch	2	17.0114	0.0085	0.9994	0.0046	0.9974	0.0082	0.9906	0.0011
adv-train-epoch	3	6.0907	0.0081	0.9913	0.0014	0.9950	0.0111	0.9999	0.0057
adv-train-epoch	4	38.5037	0.0117	0.9999	0.0064	0.9967	0.0044	0.9991	0.0021
adv-train-epoch	5	5.8038	0.0032	0.9992	0.0016	0.9988	0.0195	1.0000	0.0110
adv-train-epoch	6	80.1943	0.0225	1.0000	0.0103	0.9949	0.0077	0.9999	0.0036
adv-train-epoch	7	23.7120	0.0039	0.9998	0.0031	0.9983	0.0035	0.9998	0.0021
adv-train-epoch	8	43.4883	0.0059	0.9998	0.0033	0.9982	0.0120	1.0000	0.0068
